name,canopy_size_cm,closed_length_cm,weight_g,weight_oz,price,price_currency,warranty,url,amazon,discontinued,notes
Blunt Metro,100,37.5,385,,,,2 years,https://bluntumbrellas.co.uk/products/2020-blunt-metro?variant=31483152662598,B00GIZFRCC,,
HideWise Umbrella,120,31,400,,,,,,B0182KEFUK,,UV protection
AmazonBasics Automatic Travel Umbrella,98,28,367,,,,,https://www.amazon.co.uk/AmazonBasics-Automatic-Travel-Umbrella-Black/dp/B00WTHJ5SU/ref=sr_1_6?keywords=Blunt+Metro+Umbrella&qid=1559490022&s=gateway&sr=8-6,B00WTHJ5SU,,
The Davek Mini,86,17.7,275,,49,GBP,Lifetime,https://davek.co.uk/products/the-davek-mini?gclid=CjwKEAiAiZK1BRD509nPsYiUk2YSJAAMoAwCEROuVFmXDWYauy7b9mJr3VgseeWWqWoPO95ldVitiBoCTJXw_wcB,,,
The Davek Traveller,89,22.86,,,,,,https://davek.co.uk/collections/umbrellas2/products/the-davek-traveler,,,
The Davek Solo,94,30,544,,95,GBP,Lifetime,https://davek.co.uk/products/the-davek-solo-2,,,
TAGIT (Manual),102,26,340,,36,GBP,No warranty,https://www.kickstarter.com/projects/540245533/tagittm-umbrella-perfect-fold-in-5s-water-repellent?ref=discovery&term=umbrella,,,"UV protection, magnetic strap, innovating folding mechanism, replacable handle"
TAGIT (Auto),102,26,430,,42,GBP,No warranty,https://www.kickstarter.com/projects/540245533/tagittm-umbrella-perfect-fold-in-5s-water-repellent?ref=discovery&term=umbrella,,,"UV protection, magnetic strap, innovating folding mechanism, replacable handle"
Primark Mini Umbrella,90,18,175,,5,GBP,,,,,
Fulton Tiny 1,87,15,,,,,,https://www.fultonumbrellas.com/womens/folding-umbrellas/259/tiny-1-black/,B002PHM6BC,,
Fulton Open & Close-101,93,23,300,,22,GBP,,https://www.fultonumbrellas.com/mens/folding-umbrellas/402/open-and-close-101/,B0016P4B1M,,
Fulton Open & Close-17 Black,96,28,326,,22,GBP,,https://www.fultonumbrellas.com/womens/folding-umbrellas/95/open-and-close-17-black/,,,UV rated up to UPF30+
Swiss Peak Mini Umbrella,,,,,,,,http://swiss-peak.com/product/swiss-peak-mini-umbrella/,B07KRQNBGT,Yes,
OLYCAT Colorful Mini Umbrella,91,21,260,,,,,https://www.aliexpress.com/item/32995024415.html,,Yes,
Parachase Mini Umbrella,94,20,330,,,,,https://www.aliexpress.com/item/32960887908.html,,,Wood handle
OLYCAT New Mini Umbrella,96,21,310,,,,,https://www.aliexpress.com/item/33011339331.html,,Yes,Wood handle
EuroSchirm Light Trek Ultra Umbrella,98,27.5,172,,,,,https://euroschirm.com/schirm/LightTrek/info.cgi?sprache_land=usa,B001BDZXLQ,,
EuroSchirm Dainty Travel Umbrella,86,15.5,176,,,,,https://euroschirm.com/schirm/Dainty/info.cgi?sprache_land=usa,,,